name,perf,+-
test_files/error1.c,0.0006416658974609375,0.00025642063631445907
test_files/error2.c,0.0004862777744140625,3.973227328510792e-6
test_files/error3.c,0.00047694771191406245,8.351074930133881e-5
test_files/error4.c,0.0005316646689453125,7.495580404916596e-5
test_files/error5.c,0.0004419913310546875,7.424349115238502e-6
test_files/error6.c,0.0004651359638671874,8.101230957590413e-6
test_files/error7.c,0.0006803563740234376,1.4892876075054706e-5
test_files/error8.c,0.0003915183359375,3.869225469398881e-6
test_files/error9.c,0.0004468746826171875,3.871456683617575e-6
test_files/error10.c,0.00040850666796875,3.98839789539876e-6
test_files/error11.c,0.0004914971201171874,3.988300405932163e-6
test_files/error12.c,0.0004145627646484375,5.287803683114062e-6
test_files/error13.c,0.00044113015234374995,4.729236027626438e-6
test_files/error14.c,0.0006305637558593751,4.731841749276139e-6
test_files/error15.c,0.0004949921806640626,3.760724179773668e-6
