name,perf,+-
test_files/error1.c,0.0006413301367187501,0.00025913162393323647
test_files/error2.c,0.0006887125429687502,1.5922115148300855e-5
test_files/error3.c,0.0005117327001953125,0.00010514782235085147
test_files/error4.c,0.0004601467568359374,5.846553884246282e-5
test_files/error5.c,0.0006943954599609373,1.2436625449949232e-5
test_files/error6.c,0.0008905335244140621,5.029483138447621e-6
test_files/error7.c,0.0008338355771484373,6.374758395823985e-6
test_files/error8.c,0.000831471755859375,4.965798825965304e-6
test_files/error9.c,0.0007542557509765625,1.2548599100485288e-5
test_files/error10.c,0.0004980862695312502,1.1013115424274774e-5
test_files/error11.c,0.000827808568359375,4.7676841067497e-6
test_files/error12.c,0.0007976436533203122,4.627516101123584e-6
test_files/error13.c,0.0008540025751953127,5.057149665541659e-6
test_files/error14.c,0.0011846163242187503,4.963804658386002e-6
test_files/error15.c,0.0008898004287109377,6.233846568684762e-6
